G;;INTERVENTI DI PICCOLA MANUTENZIONE;;;;;
;;I prezzi sono riferiti a quantitativi da 4,01 a 16 m². La determinazione dei quantitativi è riferita ad attività svolte in uno stesso edificio, anche in locali diversi nel corso dello stesso intervento. Quindi tre rappezzi da 1 mq in locali anche diversi nello stesso edificio ed intervento saranno contabilizzati come un totale di 3 mq applicando le maggiorazioni progressive conseguenti. Per finitura con:;;;;;
G;1.04.4.a;intonaco rustico;mq;€ 51,91;;;
G;1.04.4.b;intonaco civile;mq;€ 61,50;;;
G;1.04.4.c;rasatura a gesso;mq;€ 43,21;;;
G;1.04.4.d;sovrapprezzo percentuale per esecuzione di superficie fino ad 1 m², in un singolo apposito intervento (minimo da contabilizzare = 1 m²);%;60;;;
G;1.04.4.e;sovrapprezzo sulla ulteriore superficie da 1,01 a 2,00 m², nel singolo apposito intervento;%;30;;;
G;1.04.4.f;sovrapprezzo percentuale sulla ulteriore superficie da 2,01 a 4,00 m², nel singolo apposito intervento;%;15;;;
;;;;;;;
G;1.04.5;Intonaco rustico su superfici limitate e circoscritte quali tracce su tavolati e muri, riquadrature di vani, tamponamenti e simili. Compresi: i piani di lavoro, il maggior onere di mano d'opera per apprestamenti, preparazioni. raccordi;mq;€ 38,23;;;
;;;;;;;
G;1.04.6;Intonaco a civile su superfici limitate e circoscritte quali tracce su tavolati e muri, riquadrature di vani, tamponamenti di vani e simili. Compresi: i piani di lavoro, il maggior onere di mano d'opera per apprestamenti, preparazioni, raccordi all'esistente ;mq;€ 56,61;;;
;;;;;;;
G;1.04.7;Rasatura a civile fine, o rasatura liscia, per regolarizzazione di pareti interne leggermente irregolari, eseguita con rasante a base di leganti idraulici, sabbia silicea, leganti sintetici, additivi, applicata su superfici in calcestruzzo, intonaci, rivestimenti plastici, compresi i piani di lavoro.;mq;€ 23,04;;;
;;;;;;;
G;1.04.8;"Ripresa saltuaria dell'intonaco diffusamente ammalorato su pareti esterne. Compresi: l'ispezione dell'intera superficie; lo scrostamento dell'intonaco deteriorato fino al vivo della muratura compresa la scarnitura dei giunti; l'abbassamento, il carico e trasporto delle macerie ad impianti di stoccaggio, di recupero o a discarica; la pulizia ed il lavaggio delle superfici da ripristinare; la strollatura con malta cementizia; il maggior onere di mano d'opera conseguente agli apprestamenti, ed alla preparazione dei raccordi con le parti sane. Esclusi: i ponteggi, gli oneri di smaltimento.";;;;;
;;Misurazione: intera superficie intonacata valutata a metro quadrato vuoto per pieno con esclusione degli elementi decorativi per gronde, fasce e cornici, con deduzione dei singoli vuoti pari o maggiori di 4.00 m². I vuoti di superficie inferiore compensano le riquadrature di spalle e voltini.;;;;;
G;1.04.8.a;con rappezzi a rustico fino al 10% della superficie;mq;€ 9,98;;;
G;1.04.8.b;con rappezzi a rustico fino al 20% della superficie;mq;€ 20,16;;;
G;1.04.8.c;con rappezzi a rustico fino al 30% della superficie;mq;€ 29,83;;;
G;1.04.8.d;con rappezzi a civile fino al 10% della superficie;mq;€ 11,62;;;
G;1.04.8.e;con rappezzi a civile fino al 20% della superficie;mq;€ 23,36;;;
G;1.04.8.f;con rappezzi a civile fino al 30% della superficie;mq;€ 35,17;;;
;;;;;;;
G;1.04.9;Ripresa saltuaria di intonaco decorativo a riquadri, fasce, bugne.;;;;;
;;"Compresi: l'ispezione dell'intera superficie; lo scrostamento dell'intonaco deteriorato fino al vivo della muratura; l'abbassamento, il carico e trasporto delle macerie ad impianti di stoccaggio, di deposito o a discarica; la pulizia ed il lavaggio delle superfici da ripristinare; la ricostruzione con idonea malta; la riprofilatura di spigoli rientranti e sporgenti; il maggior onere di mano d'opera conseguente agli apprestamenti, alle preparazioni, ai raccordi con le parti sane.";;;;;
;;Esclusi: i ponteggi esterni se non esistenti, gli oneri di smaltimento.;;;;;
;;"Misurazione: intera superficie intonacata valutata a metro quadrato vuoto per pieno con esclusione degli elementi decorativi per gronde, fasce e cornici, con deduzione solo dei singoli vani con superficie pari o maggiori di 4.00 m²; i vani di superficie inferiore vanno a compensazione delle riquadrature.";;;;;
G;1.04.9.a;con rappezzi fino al 5% della superficie;mq;€ 11,05;;;
G;1.04.9.b;con rappezzi fino al 10% della superficie;mq;€ 21,79;;;
G;1.04.9.c;con rappezzi fino al 20% della superficie;mq;€ 43,95;;;
G;    1.05.1     ;"Ripresa saltuaria di sottofondi per pavimenti e lastrici con degrado diffuso sulla superficie. Compresa la rimozione delle parti deteriorate, il carico e trasporto delle macerie ad impianti di stoccaggio, di recupero o a discarica; la regolarizzazione delle porzioni da ricostruire; la mano di primer di ancoraggio; la stuccatura di fessurazioni e crepe con adesivo epossidico applicato a pennello; l'impasto, con idoneo dosaggio di cemento, steso a colmatura delle lacune; il maggiore onere di mano d'opera per apprestamenti e preparazioni. Misurazione: intera superficie:";;;;;
G; 1.05.1.a  ;con rappezzi fino al 5% della superficie;mq;€ 2,50;;;
G; 1.05.1.b  ;con rappezzi fino al 10% della superficie;mq;€ 5,20;;;
G;  1.05.1.c  ;con rappezzi fino al 20% della superficie;mq;€ 10,42;;;
;;;;;;;
G;    1.05.2     ;Consolidamento di sottofondi preesistenti, assorbenti, deboli o sfarinati, mediante induritore a base di resine applicato a pennello o spazzolone;mq;€ 5,36;;;
;;;;;;;
;1.06;COPERTURE;;;;;
;;;;;;;
G;    1.06.1     ;"Ricerca ed eliminazione di infiltrazioni d'acqua isolate in manto di copertura di tegole piane. Sono compresi: la fornitura e posa di un piccolo numero di nuove o vecchie tegole e pezzi speciali simili agli esistenti; i fissaggi e le sigillature con malta; l'abbassamento, il carico e trasporto delle macerie ad impianti di stoccaggio, di recupero o a discarica.";;;;;
;;Sono esclusi : ponteggi, la sostituzione di orditure, oneri di smaltimento;;;;;
G; 1.06.1.a  ;per una sola infiltrazione;cad;€ 212,31;;;
G; 1.06.1.b  ;per ogni infiltrazione isolata oltre la prima;cad;€ 58,29;;;
;;;;;;;
G;    1.06.2     ;Ricerca ed eliminazione di infiltrazioni d'acqua isolate in manto di copertura di tegole a canale o coppi.;;;;;
;;"Sono compresi: la fornitura e posa di un piccolo numero di nuove o vecchie tegole e pezzi speciali simili agli esistenti; i fissaggi e le sigillature con malta; l'abbassamento, il carico e trasporto delle macerie ad impianti di stoccaggio, di recupero o a discarica.";;;;;
;;Sono esclusi: ponteggi, la sostituzione di orditure, oneri di smaltimento.;;;;;
G; 1.06.2.a  ;per una sola infiltrazione;cad;€ 217,86;;;
G; 1.06.2.b  ;per ogni infiltrazione isolata oltre la prima;cad;€ 68,66;;;
G;;;;;;;
G;    1.06.3     ;Pulizia di coperture piane, con rimozione totale di ogni materiale di qualsiasi natura e consistenza, pulizia a fondo del piano e dei canali di scarico. Compreso l'abbassamento e l'allontanamento dal cantiere dei materiali di risulta.;mq;€ 7,55;;;
;;;;;;;
G;    1.06.4     ;Pulizia di sottotetti, con rimozione totale di ogni materiale di qualsiasi natura e consistenza e pulizia del piano di calpestio. Compreso l'abbassamento e l'allontanamento dal cantiere dei materiali di risulta;mq;€ 10,09;;;
;;;;;;;
G;    1.06.5     ;Pulizia di cornici, cornicioni, davanzali e di elementi decorativi in genere, da depositi, incrostazioni, terriccio, guano con attrezzi meccanici manuali e lavaggio con acqua e sostanze detergenti.;mq;€ 32,04;;;
;;;;;;;
G;    1.06.6     ;Revisione delle coperture metalliche con rimozione delle lastre disarticolate o danneggiate, messa in quota dei correnti di appoggio, esecuzione di nuovi fissaggi, sigillatura dei vecchi fori, posa delle lastre di recupero. Esclusi: i ponteggi, la fornitura e posa di nuovi elementi. Misura della intera superficie;mq;€ 17,58;;;
;;;;;;;
;;;;;;;
;1.07;IMPIANTI;;;;;
;;;;;;;
G;    1.07.1     ;Disostruzione di scarichi igienici. (griglie di scarico, sifoni a pavimento, scarichi di lavabi e simili). E' esclusa ogni eventuale rottura che si rendesse necessaria.;;;;;
G; 1.07.1.a  ;per un singolo intervento;cad;€ 47,21;;;
G; 1.07.1.b  ;per ogni ulteriore intervento nello stesso edificio;cad;€ 17,16;;;
;;;;;;;
G;    1.07.2     ;Disostruzione di scarichi di gabinetti, relativamente al sifone ed al collettore di fognatura orizzontale. E' esclusa ogni eventuale rottura che si rendesse necessaria. Il prezzo si riferisce all'intera batteria di servizi interessati dall'ostruzione;;;;;
G; 1.07.2.a  ;per un singolo intervento;cad;€ 106,42;;;
G; 1.07.2.b  ;per ogni ulteriore intervento nello stesso edificio;cad;€ 71,23;;;
;;;;;;;
G;    1.07.3     ;Ricerca di perdite in rete di impianti idrosanitari incassati o a pavimento con impiego di idonee strumentazioni;;;;;
G; 1.07.3.a  ;di scarico apparecchi;cad;€ 208,72;;;
G; 1.07.3.b  ;di adduzione acque fredde-calde;cad;€ 263,67;;;
;;;;;;;
G;    1.07.4     ;Revisione di tubazione di scarico di apparecchio sanitario.;cad;€ 282,42;;;
;;"Il prezzo comprende e compensa la rimozione dell'apparecchio sanitario e il successivo riposizionamento, la demolizione parziale del pavimento o rivestimento, la liberazione del tubo di scarico, rimozione e sostituzione dei pezzi speciali ammalorati, compresa fornitura, il ripristino del massetto in malta cementizia e della nuova pavimentazione; le opere provvisionali di sostegno e protezione, la movimentazione a piano cortile, il carico e il traporto delle macerie a impianti di stoccaggio, di recupero o a discarica.";;;;;
;;Sono inoltre comprese le attività connesse a garantire la continuità del servizio all'interno dello stabile. ;;;;;
;;Esclusi gli oneri di smaltimento.;;;;;
;;;;;;;
G;    1.07.5     ;Revisione di apparecchiature esterne di idrosanitari.;;;;;
;;Il prezzo comprende e compensa la revisione integrale di: rubinetteria di comando e di arresto, scarichi e fornitura e posa in opera delle apparecchiature non più riparabili. Sono inoltre comprese le attività connesse a garantire la continuità del servizio all'interno dello stabile. Esclusi gli oneri di smaltimento;;;;;
G; 1.07.5.a  ;con sostituzione di sola minuteria;cad;€ 96,60;;;
G; 1.07.5.b  ;con sostituzione di gruppo a due rubinetti per lavandino, vasca o doccia;cad;€ 258,39;;;
G;  1.07.5.c  ;con sostituzione di gruppo con miscelatore monocomando per lavandino, vasca o doccia;cad;€ 288,90;;;
G; 1.07.5.d  ;con sostituzione di passo rapido o cassetta di scarico;cad;€ 214,10;;;
G;  1.07.5.e  ;con sostituzione di solo rubinetto di adduzione per orinatoi, scaldabagno, fontanelle, rubinetti di arresto sotto lavabo;cad;€ 175,81;;;
;;;;;;;
G;    1.07.6     ;Sgombero e pulizia di pozzetti di media grandezza per la raccolta di acque meteoriche e similari (non stradali);;;;;
G; 1.07.6.a  ;per un singolo intervento;cad;€ 72,95;;;
G; 1.07.6.b  ;per ogni ulteriore intervento adiacente;cad;€ 48,93;;;
;;;;;;;
